"","Source Name","Mention Count"
"1","indiatimes.com",27469
"2","aninews.in",20023
"3","india.com",8388
"4","firstpost.com",7429
"5","idrw.org",7278
"6","indianexpress.com",6381
"7","dnaindia.com",6346
"8","thehindu.com",6076
"9","thewire.in",5778
"10","hindustantimes.com",5741
"11","btvi.in",5424
"12","indiatoday.intoday.in",5285
"13","ndtv.com",4732
"14","indiatvnews.com",4512
"15","asianage.com",4387
"16","deccanchronicle.com",4375
"17","ptinews.com",4062
"18","sify.com",3816
"19","deccanherald.com",3495
"20","livemint.com",3377
"21","tribuneindia.com",3334
"22","dailypioneer.com",3188
"23","oneindia.com",2877
"24","outlookindia.com",2837
"25","indiagazette.com",2563
"26","newindianexpress.com",2502
"27","prokerala.com",2440
"28","webindia123.com",2324
"29","thestatesman.com",2206
"30","thehindubusinessline.com",2190
"31","newkerala.com",2154
"32","freepressjournal.in",2087
"33","ianslive.in",2062
"34","jagran.com",1964
"35","defencenews.in",1902
"36","siasat.com",1837
