Actor,Metric,Asia,Africa,Total
ALL,count,"49,683,806","27,731,754","77,415,560"
ALL,mean,"1,129,177","554,635",-
ALL,std,"2,224,406","1,423,835",-
CHN,count,"791,837","137,504","929,341"
CHN,mean,"17,996","2,750",-
CHN,std,"41,571","5,341",-
FRA,count,"240,505","172,880","413,385"
FRA,mean,"5,466","3,457",-
FRA,std,"9,778","6,330",-
IND,count,"82,515","5,375","87,890"
IND,mean,"1,918",107,-
IND,std,"4,593",237,-
RUS,count,"409,435","59,108","468,543"
RUS,mean,"9,521","1,182",-
RUS,std,"15,593","4,219",-
USA,count,"1,703,413","413,010","2,116,423"
USA,mean,"38,713","8,260",-
USA,std,"85,825","19,673",-
